"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36001000100","Census Tract 1; Albany County; New York","2259","512",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","2465","608",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","2374","668",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","2837","581",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","3200","500",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","2301","399",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","4348","735",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","5126","47",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","3471","686",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","3788","357",
"1400000US36001000600","Census Tract 6; Albany County; New York","3352","476",
"1400000US36001000700","Census Tract 7; Albany County; New York","3733","642",
"1400000US36001000800","Census Tract 8; Albany County; New York","1800","545",
"1400000US36001001100","Census Tract 11; Albany County; New York","2143","313",
"1400000US36001001400","Census Tract 14; Albany County; New York","4054","807",
"1400000US36001001500","Census Tract 15; Albany County; New York","5198","765",
"1400000US36001001600","Census Tract 16; Albany County; New York","4759","716",
"1400000US36001001700","Census Tract 17; Albany County; New York","4223","476",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","4042","551",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","3608","466",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","3522","538",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","2531","326",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","2470","399",
"1400000US36001002000","Census Tract 20; Albany County; New York","6576","944",
"1400000US36001002100","Census Tract 21; Albany County; New York","3317","482",
"1400000US36001002200","Census Tract 22; Albany County; New York","2409","474",
"1400000US36001002300","Census Tract 23; Albany County; New York","1971","369",
"1400000US36001002500","Census Tract 25; Albany County; New York","3062","725",
"1400000US36001002600","Census Tract 26; Albany County; New York","4753","682",
"1400000US36001012700","Census Tract 127; Albany County; New York","3464","527",
"1400000US36001012800","Census Tract 128; Albany County; New York","3975","667",
"1400000US36001012900","Census Tract 129; Albany County; New York","3491","658",
"1400000US36001013000","Census Tract 130; Albany County; New York","7030","652",
"1400000US36001013100","Census Tract 131; Albany County; New York","2968","16",
"1400000US36001013200","Census Tract 132; Albany County; New York","3492","471",
"1400000US36001013300","Census Tract 133; Albany County; New York","3984","431",
"1400000US36001013400","Census Tract 134; Albany County; New York","2849","480",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","5446","693",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","2883","465",
"1400000US36001013507","Census Tract 135.07; Albany County; New York","2233","334",
"1400000US36001013509","Census Tract 135.09; Albany County; New York","3411","613",
"1400000US36001013510","Census Tract 135.10; Albany County; New York","3556","523",
"1400000US36001013511","Census Tract 135.11; Albany County; New York","3592","641",
"1400000US36001013512","Census Tract 135.12; Albany County; New York","3658","437",
"1400000US36001013602","Census Tract 136.02; Albany County; New York","4512","24",
"1400000US36001013603","Census Tract 136.03; Albany County; New York","3232","570",
"1400000US36001013604","Census Tract 136.04; Albany County; New York","7286","646",
"1400000US36001013703","Census Tract 137.03; Albany County; New York","2293","228",
"1400000US36001013706","Census Tract 137.06; Albany County; New York","2159","280",
"1400000US36001013707","Census Tract 137.07; Albany County; New York","5879","810",
"1400000US36001013708","Census Tract 137.08; Albany County; New York","3251","357",
"1400000US36001013709","Census Tract 137.09; Albany County; New York","2916","478",
"1400000US36001013802","Census Tract 138.02; Albany County; New York","4452","446",
"1400000US36001013803","Census Tract 138.03; Albany County; New York","3747","680",
"1400000US36001013804","Census Tract 138.04; Albany County; New York","4004","508",
"1400000US36001013901","Census Tract 139.01; Albany County; New York","2363","428",
"1400000US36001013902","Census Tract 139.02; Albany County; New York","5404","430",
"1400000US36001014001","Census Tract 140.01; Albany County; New York","3562","351",
"1400000US36001014002","Census Tract 140.02; Albany County; New York","5567","777",
"1400000US36001014100","Census Tract 141; Albany County; New York","5770","699",
"1400000US36001014201","Census Tract 142.01; Albany County; New York","5828","583",
"1400000US36001014202","Census Tract 142.02; Albany County; New York","6259","661",
"1400000US36001014203","Census Tract 142.03; Albany County; New York","6209","720",
"1400000US36001014301","Census Tract 143.01; Albany County; New York","2996","481",
"1400000US36001014303","Census Tract 143.03; Albany County; New York","4886","459",
"1400000US36001014304","Census Tract 143.04; Albany County; New York","3091","373",
"1400000US36001014401","Census Tract 144.01; Albany County; New York","3994","15",
"1400000US36001014402","Census Tract 144.02; Albany County; New York","3259","25",
"1400000US36001014501","Census Tract 145.01; Albany County; New York","2831","328",
"1400000US36001014502","Census Tract 145.02; Albany County; New York","3416","328",
"1400000US36001014503","Census Tract 145.03; Albany County; New York","2840","21",
"1400000US36001014606","Census Tract 146.06; Albany County; New York","3892","402",
"1400000US36001014608","Census Tract 146.08; Albany County; New York","4243","366",
"1400000US36001014609","Census Tract 146.09; Albany County; New York","4626","579",
"1400000US36001014611","Census Tract 146.11; Albany County; New York","2440","300",
"1400000US36001014612","Census Tract 146.12; Albany County; New York","1745","176",
"1400000US36001014613","Census Tract 146.13; Albany County; New York","2895","411",
"1400000US36001014614","Census Tract 146.14; Albany County; New York","5660","572",
"1400000US36001014615","Census Tract 146.15; Albany County; New York","3016","406",
"1400000US36001014616","Census Tract 146.16; Albany County; New York","6037","636",
"1400000US36001014617","Census Tract 146.17; Albany County; New York","2378","340",
"1400000US36001014700","Census Tract 147; Albany County; New York","2679","220",
"1400000US36001014801","Census Tract 148.01; Albany County; New York","2695","16",
"1400000US36001014802","Census Tract 148.02; Albany County; New York","1798","222",
"1400000US36001014803","Census Tract 148.03; Albany County; New York","3207","14",
"1400000US36003940200","Census Tract 9402; Allegany County; New York","0","13",
"1400000US36003950100","Census Tract 9501; Allegany County; New York","2394","228",
"1400000US36003950300","Census Tract 9503; Allegany County; New York","5075","332",
"1400000US36003950401","Census Tract 9504.01; Allegany County; New York","1627","193",
"1400000US36003950402","Census Tract 9504.02; Allegany County; New York","2198","306",
"1400000US36003950500","Census Tract 9505; Allegany County; New York","3820","199",
"1400000US36003950600","Census Tract 9506; Allegany County; New York","3334","371",
"1400000US36003950700","Census Tract 9507; Allegany County; New York","3735","399",
"1400000US36003950800","Census Tract 9508; Allegany County; New York","6821","258",
"1400000US36003950900","Census Tract 9509; Allegany County; New York","3816","388",
"1400000US36003951000","Census Tract 9510; Allegany County; New York","3075","403",
"1400000US36003951100","Census Tract 9511; Allegany County; New York","3626","368",
"1400000US36003951201","Census Tract 9512.01; Allegany County; New York","2332","249",
"1400000US36003951202","Census Tract 9512.02; Allegany County; New York","2237","252",
"1400000US36003951301","Census Tract 9513.01; Allegany County; New York","1105","111",
"1400000US36003951302","Census Tract 9513.02; Allegany County; New York","2027","203",
"1400000US36005000100","Census Tract 1; Bronx County; New York","4446","616",
"1400000US36005000200","Census Tract 2; Bronx County; New York","4870","621",
"1400000US36005000400","Census Tract 4; Bronx County; New York","6257","982",
"1400000US36005001600","Census Tract 16; Bronx County; New York","6177","618",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","2181","258",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","1883","458",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","0","13",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","0","13",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","4461","851",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","3915","1011",
"1400000US36005002300","Census Tract 23; Bronx County; New York","4528","596",
"1400000US36005002400","Census Tract 24; Bronx County; New York","0","13",
"1400000US36005002500","Census Tract 25; Bronx County; New York","5642","741",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","3335","534",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","5000","593",
"1400000US36005002800","Census Tract 28; Bronx County; New York","5230","763",
"1400000US36005003100","Census Tract 31; Bronx County; New York","2559","436",
"1400000US36005003300","Census Tract 33; Bronx County; New York","3559","654",
"1400000US36005003500","Census Tract 35; Bronx County; New York","3899","922",
"1400000US36005003700","Census Tract 37; Bronx County; New York","331","168",
"1400000US36005003800","Census Tract 38; Bronx County; New York","1182","172",
"1400000US36005003900","Census Tract 39; Bronx County; New York","6227","1225",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","1409","285",
"1400000US36005004100","Census Tract 41; Bronx County; New York","6583","1267",
"1400000US36005004200","Census Tract 42; Bronx County; New York","8179","1033",
"1400000US36005004300","Census Tract 43; Bronx County; New York","5627","680",
"1400000US36005004400","Census Tract 44; Bronx County; New York","4592","598",
"1400000US36005004600","Census Tract 46; Bronx County; New York","1763","396",
"1400000US36005004800","Census Tract 48; Bronx County; New York","4261","601",
"1400000US36005005001","Census Tract 50.01; Bronx County; New York","4565","551",
"1400000US36005005002","Census Tract 50.02; Bronx County; New York","6466","1068",
"1400000US36005005100","Census Tract 51; Bronx County; New York","6492","1118",
"1400000US36005005200","Census Tract 52; Bronx County; New York","1931","298",
"1400000US36005005300","Census Tract 53; Bronx County; New York","5379","769",
"1400000US36005005400","Census Tract 54; Bronx County; New York","5715","798",
"1400000US36005005600","Census Tract 56; Bronx County; New York","2311","318",
"1400000US36005005902","Census Tract 59.02; Bronx County; New York","2938","610",
"1400000US36005006000","Census Tract 60; Bronx County; New York","1297","380",
"1400000US36005006100","Census Tract 61; Bronx County; New York","3868","735",
"1400000US36005006200","Census Tract 62; Bronx County; New York","6217","928",
"1400000US36005006301","Census Tract 63.01; Bronx County; New York","5845","1004",
"1400000US36005006302","Census Tract 63.02; Bronx County; New York","0","13",
