time,temperature_2m (°C),precipitation (mm),cloud_cover (%),visibility (m),wind_speed_10m (km/h)
2022-04-01T00:00,15.1,0.7,99,14400,9.2
2022-04-01T01:00,14.5,0,100,13600,2.1
2022-04-01T02:00,14.3,0,100,12200,2.9
2022-04-01T03:00,14.5,0.4,100,14000,9.1
2022-04-01T04:00,14.2,0,100,18100,12.3
2022-04-01T05:00,12.5,0,99,19100,15.7
2022-04-01T06:00,11.7,0,100,18800,13.9
2022-04-01T07:00,10.5,0,100,19600,19.2
2022-04-01T08:00,10.2,0,100,18200,8.4
2022-04-01T09:00,11.4,0,100,26300,14.2
2022-04-01T10:00,11.8,0,98,39600,22.2
2022-04-01T11:00,12.5,0,44,35800,27.9
2022-04-01T12:00,12.6,0,99,46300,26.5
2022-04-01T13:00,13.4,0,60,49600,29.2
2022-04-01T14:00,13,0,99,54500,33.1
2022-04-01T15:00,11.5,0,99,44200,30.6
2022-04-01T16:00,11.9,0,99,49200,30.2
2022-04-01T17:00,9.1,0,99,37300,30.2
2022-04-01T18:00,8.7,0,94,36900,32.5
2022-04-01T19:00,7.5,0,18,39200,29.7
2022-04-01T20:00,7.2,0,0,45300,23.3
2022-04-01T21:00,6.6,0,15,51300,22.8
2022-04-01T22:00,7.1,0,39,49700,24.3
2022-04-01T23:00,6.2,0,5,54600,25.4
2022-04-02T00:00,6,0,0,51100,27.5
2022-04-02T01:00,5.3,0,0,47100,28.8
2022-04-02T02:00,4.7,0,0,44700,24.5
2022-04-02T03:00,4.5,0,0,46800,22.3
2022-04-02T04:00,3.8,0,1,43300,16.8
2022-04-02T05:00,3.5,0,30,45400,13.8
2022-04-02T06:00,3.3,0,100,40800,22.4
2022-04-02T07:00,3.9,0,99,38900,22.6
2022-04-02T08:00,4.5,0,44,38900,23.8
2022-04-02T09:00,5.9,0,19,42100,22.1
2022-04-02T10:00,7.1,0,7,42500,20.5
2022-04-02T11:00,8.4,0,5,47600,18.9
2022-04-02T12:00,9.6,0,6,50500,15.6
2022-04-02T13:00,10.8,0,3,54600,16.6
2022-04-02T14:00,11.5,0,3,59400,11.1
2022-04-02T15:00,12.2,0,4,62900,10.5
2022-04-02T16:00,12.3,0,4,64500,10.5
2022-04-02T17:00,11.3,0,1,58200,14.5
2022-04-02T18:00,10,0,4,52800,13.7
2022-04-02T19:00,7.4,0,67,38000,18.8
2022-04-02T20:00,6.2,0,67,26400,15.6
2022-04-02T21:00,6.2,0,99,29300,8.3
